Product,Channel,WeekStart,QuantitySold,Price,isPromoPeriod
TXX5Q,E,2017-01-23,75,3.5370000000000004,True
TXQT7,E,2016-10-03,191,8.914645161290322,True
TXX5Q,E,2015-10-05,111,3.483461538461538,True
TXQ0T,C,2016-08-08,15312,4.784056129203078,True
TXQQX,C,2017-11-13,12756,1.3344463017133303,True
TXX00,B,2015-06-29,75,5.51475409836066,False
TXQT7,C,2017-05-29,11871,10.552014358691148,True
TXZ06,E,2017-03-20,413,2.030238805970151,True
TXX5Q,B,2015-11-09,38,6.49032258064516,False
TXX5Q,C,2017-03-13,13362,4.799793712188832,True
TXX00,B,2016-01-11,46,5.98947368421053,False
TXXX0,C,2016-01-04,15922,4.277293305506508,True
TXQTZ,C,2015-11-30,29355,13.501949795680098,True
TXQQX,C,2017-10-30,10927,1.3228514150943391,True
TXZ06,D,2018-04-23,18629,1.77410268791244,True
TXZ06,B,2017-02-27,70,2.98947368421053,False
TXQTZ,E,2015-02-23,255,9.445673076923072,False
TXXX0,F,2016-03-14,1303,3.55651322233105,True
TXQTZ,E,2015-10-26,263,9.131428571428529,True
TXZ06,A,2016-10-24,2683,1.65362053162236,False
TXX5Q,E,2015-06-15,172,3.519473684210523,True
TXX00,C,2016-06-06,15079,4.178259265470402,True
TZQAQ,B,2017-01-02,27,3.76363636363636,False
TXZ06,C,2016-04-25,25251,2.7514988242511,True
TXXX0,B,2017-12-18,33,5.48888888888889,False
TXX06,E,2017-10-02,108,3.7086206896551692,True
TXX06,E,2016-06-06,180,3.7428671328671346,True
TXQ0T,C,2016-02-01,17734,4.807559451219518,True
TXQT7,C,2015-03-30,12237,13.678876889848812,True
TXQ0T,E,2017-05-08,107,3.51,False
TXX5Q,B,2015-02-23,88,5.89027777777778,False
TXX06,B,2015-04-27,78,5.475,False
TXQ0T,C,2015-03-23,17371,4.818981676179034,True
TXX06,A,2016-09-05,1547,3.23179650238474,False
TXX5Q,C,2018-02-19,12766,4.649217536733965,True
TXXX0,E,2017-07-10,186,3.2062500000000003,False
TXX00,D,2016-05-23,6081,3.48345250255363,True
TXX00,E,2015-09-14,136,3.4637837837837853,False
TXX5Q,B,2015-05-18,71,5.7448275862069,False
TXQTZ,E,2015-03-23,378,9.32435064935064,False
TXQT7,C,2018-04-16,12049,10.317413875598088,True
TXX5Q,B,2017-08-21,12,6.49,False
TXZ06,B,2016-01-04,41,3.99117647058823,False
TXX06,B,2015-10-12,40,5.99090909090909,False
TXX06,D,2016-02-22,6343,3.45701463414634,True
TXX5Q,E,2015-09-14,132,3.5377570093457966,True
TXQTZ,E,2018-03-12,169,9.3723913043478,False
TXXX0,E,2016-01-18,206,3.7584000000000004,True
TXX06,E,2016-06-13,134,3.770000000000001,True
TXXX0,C,2015-08-03,14621,4.564546599496225,True
TXX00,C,2015-04-06,13169,4.533176082314109,True
TXZ06,E,2015-04-13,418,2.3901769911504416,True
TXQT7,E,2017-11-06,156,9.26571428571429,True
TXZ06,B,2016-07-04,99,3.475,True
TXQ0T,E,2015-11-30,212,3.488789808917199,True
TXQT7,B,2015-05-18,164,11.4626373626374,True
TXX00,E,2016-04-04,158,3.7716279069767404,False
TXX06,E,2017-09-25,138,3.4510619469026524,False
TXX06,E,2016-09-05,91,3.5260273972602723,True
TXQ0T,B,2017-08-14,20,6.488235294117651,False
TXQ0T,B,2016-06-06,9,6.4875,False
TXQ0T,E,2016-06-13,163,3.526097560975612,True
TZQAQ,B,2016-04-25,27,3.99090909090909,False
TXX06,E,2017-12-11,146,3.670941176470584,True
TXQ0T,C,2016-12-19,22581,4.779126637554583,True
TXXX0,E,2015-03-02,290,3.332680851063834,True
TXX06,E,2015-04-06,107,3.7161627906976737,True
TXQTZ,E,2015-05-11,180,9.59413043478258,True
TXX5Q,C,2017-02-13,13683,4.811229934433636,True
TXX06,C,2015-04-27,13928,4.524835345773876,True
TXZ06,C,2016-06-20,19169,2.516921667430142,True
TXZ06,E,2015-03-30,543,2.605306122448983,True
TXXX0,C,2017-02-20,14341,4.114957631152998,True
TXQTZ,C,2016-04-18,13703,12.793672747580048,True
TXXX0,B,2016-11-28,44,5.48888888888889,False
TXX06,B,2016-07-25,33,5.914814814814808,False
TXQT7,E,2018-02-26,111,9.13300000000002,True
TZQAQ,C,2018-04-23,23742,2.30500537489922,True
TXX5Q,E,2015-05-11,200,3.5195625,True
TXQTZ,E,2016-08-29,173,9.830217391304311,True
TXZ06,E,2016-11-14,553,1.8683606557377093,True
TXQT7,B,2017-04-24,29,11.9875,False
TXX5Q,A,2015-03-02,19049,3.4585523342157902,False
TXX5Q,C,2017-02-27,13764,4.7903723691311315,True
TXZ06,D,2016-02-15,10392,2.53893772893773,True
TXX5Q,E,2017-02-06,89,3.396249999999999,True
TXQT7,B,2017-08-14,24,11.99,False
TXQTZ,E,2015-11-09,259,9.306617647058822,True
TXQ0T,B,2016-09-26,36,6.49,False
TXX00,D,2016-09-12,6591,3.4961972667855,True
TXXX0,E,2015-04-13,179,3.1130136986301364,False
TXX5Q,A,2016-04-04,28912,3.42298221614227,True
TXX5Q,A,2016-10-17,11206,3.47484526967286,True
TXX5Q,E,2018-03-26,113,3.8210869565217362,False
TXQQX,F,2016-05-23,30,0.976,False
TXZ06,D,2015-07-20,8256,2.5989445114595897,True
TXQ0T,A,2016-10-17,14283,3.35860086671973,True
TXX06,D,2018-02-19,5539,3.5640017865118394,True
TXXX0,C,2017-01-02,13897,4.008713039263212,True
TXQTZ,E,2016-11-14,217,9.29793103448274,True
TXX5Q,E,2018-04-30,79,3.1120312500000002,True
TXQT7,E,2015-06-15,237,8.06817679558011,True
TXQ0T,C,2017-01-09,16261,4.777492955478628,True
TXQTZ,B,2015-04-27,164,12.826119402985102,False
TXX5Q,B,2015-03-02,70,5.9087719298245585,False
TXXX0,C,2015-05-25,14447,4.556958784879256,True
TXQTZ,B,2015-03-09,163,12.3845070422535,True
TXXX0,C,2015-06-01,14437,4.566664217487148,True
TXX5Q,E,2016-03-14,124,3.5117821782178202,False
TXQ0T,C,2017-03-27,18714,4.78511886341258,True
TXQ0T,C,2015-04-27,17082,4.818953159383845,True
TZQAQ,E,2018-01-29,291,1.843043478260868,True
TXX06,C,2016-12-12,15855,4.525862472812451,True
TXX5Q,E,2015-07-13,214,3.559137931034487,False
TXX06,D,2016-11-14,5835,3.51513385146805,True
TXQT7,A,2015-03-30,8836,9.90015311804009,False
TXX5Q,A,2016-09-12,14945,3.4581207942178303,True
TXQT7,C,2018-02-26,12192,10.341204074625157,True
TXZ06,C,2017-11-13,23686,2.305112904985268,True
TXX5Q,B,2015-10-26,56,6.48913043478261,False
TXZ06,E,2017-03-13,520,2.147203791469197,True
TXX00,D,2015-05-11,7504,3.60886363636364,True
TXZ06,D,2016-01-11,8826,2.6360481789503902,True
TXZ06,B,2016-02-15,56,3.9911111111111097,True
TXQTZ,B,2017-03-20,40,12.9909090909091,False
TXZ06,C,2015-08-24,22251,3.003837847006276,True
TXQ0T,E,2016-02-15,199,3.487354838709678,True
TXX5Q,C,2016-11-21,12721,4.79469464063149,True
TXXX0,C,2017-04-17,13122,4.202440177252591,True
TXX06,D,2015-04-06,6047,3.61405262084438,True
TXQ0T,E,2016-02-08,142,3.519101123595504,True
TXXX0,E,2015-02-23,191,3.205294117647057,True
TXX06,C,2017-09-11,12383,4.502738275340396,True
TZQAQ,E,2016-08-08,194,1.853312101910829,True
TZQAQ,B,2017-01-30,3,4.0,False
TXX5Q,A,2015-01-12,32484,3.4499659219992407,False
TXX06,B,2015-03-23,84,5.59855072463768,False
TXX06,C,2018-01-29,15805,4.476753135200136,True
TXZ06,E,2016-03-28,377,2.022808988764044,True
TXXX0,C,2015-03-23,16046,4.569157254561255,True
TXQ0T,C,2017-03-13,17497,4.788767123287672,True
TXX5Q,E,2017-07-03,119,4.033548387096777,True
TXQT7,C,2017-01-02,13870,10.660789473684211,True
TXQ0T,C,2015-03-16,16943,4.800149333333325,True
TXX00,D,2016-01-11,7766,3.38991732857838,True
TXX06,E,2018-01-08,97,3.1615384615384587,True
TXZ06,B,2015-05-11,99,3.53086419753086,False
TXQ0T,E,2018-03-26,94,3.091200000000003,True
TXX06,B,2016-02-08,38,5.99032258064516,False
TXZ06,E,2016-08-01,504,1.908658536585363,False
TXX06,D,2017-02-06,6335,3.55628024405639,True
TXXX0,B,2018-04-23,29,3.99166666666667,False
TXZ06,E,2015-07-27,141,3.383217391304349,False
TXX00,B,2018-01-15,19,5.9875,False
TZQAQ,B,2016-12-05,29,3.99166666666667,False
TXQT7,B,2016-04-04,27,11.99,True
TXQQX,C,2016-09-05,15796,1.3374220374220367,True
TXZ06,D,2017-01-02,123,1.683,False
TXQT7,C,2015-07-13,10113,13.281895206243034,True
TXX06,A,2018-01-29,2196,3.17295632698768,False
TXZ06,B,2015-11-16,60,3.98979591836735,False
TXZ06,D,2015-03-02,9408,2.6413734466971897,True
TXX00,A,2015-04-13,896,3.505639614855569,True
TXZ06,C,2015-07-06,22731,3.0258817080524056,True
TXXX0,B,2016-10-17,31,5.4884615384615385,False
TXX06,E,2018-04-16,102,3.603253012048197,False
TXQ0T,A,2015-04-06,18579,3.45751142166084,True
TXQT7,A,2018-03-19,9709,7.45091208512795,False
TXX00,A,2016-08-01,2027,2.94290048543689,False
TXZ06,C,2016-12-19,30229,2.3062787314518416,True
TXQT7,A,2018-03-12,1038,7.44123222748815,False
TXQT7,B,2016-07-25,43,11.986666666666698,True
TXZ06,A,2016-10-17,2664,1.64921514312096,False
TXX5Q,B,2017-01-16,12,6.49,False
TXX06,E,2015-04-13,145,3.4611206896551687,True
TXX00,B,2015-03-23,76,5.6032258064516105,False
TXQ0T,E,2016-04-25,166,3.517297297297299,True
TXQ0T,E,2015-03-30,174,3.5257664233576618,True
