Product,Channel,WeekStart,TV,Online,StoresAvailability
TXX5Q,E,2015-01-05,0.0,0.0,45
TXQ0T,E,2015-01-05,0.0,0.0,32
TXX5Q,B,2015-01-05,0.0,0.0,26
TXQ0T,B,2015-01-05,0.0,0.0,30
TXX5Q,A,2015-01-05,0.0,0.0,48
TXQ0T,A,2015-01-05,0.0,0.0,40
TXX5Q,C,2015-01-05,0.0,0.0,95
TXQ0T,C,2015-01-05,0.0,0.0,94
TXX00,E,2015-01-05,0.0,0.0,50
TXX06,E,2015-01-05,0.0,0.0,42
TXXX0,E,2015-01-05,0.0,0.0,49
TXZ06,E,2015-01-05,0.0,0.0,49
TXX00,B,2015-01-05,0.0,0.0,31
TXX06,B,2015-01-05,0.0,0.0,33
TXXX0,B,2015-01-05,0.0,0.0,41
TXZ06,B,2015-01-05,0.0,0.0,51
TXX00,A,2015-01-05,0.0,0.0,3
TXX06,A,2015-01-05,0.0,0.0,3
TXX00,C,2015-01-05,0.0,0.0,97
TXX06,C,2015-01-05,0.0,0.0,96
TXXX0,C,2015-01-05,0.0,0.0,88
TXZ06,C,2015-01-05,0.0,0.0,89
TXX00,D,2015-01-05,0.0,0.0,1
TXZ06,D,2015-01-05,0.0,0.0,1
TXQT7,E,2015-01-05,99830.65,0.0,55
TXQTZ,E,2015-01-05,99830.65,0.0,52
TXQT7,B,2015-01-05,99830.65,0.0,46
TXQTZ,B,2015-01-05,99830.65,0.0,55
TXQT7,A,2015-01-05,99830.65,0.0,14
TXQTZ,A,2015-01-05,99830.65,0.0,14
TXQT7,C,2015-01-05,99830.65,0.0,90
TXQTZ,C,2015-01-05,99830.65,0.0,87
TXX5Q,E,2015-01-12,0.0,0.0,54
TXQ0T,E,2015-01-12,0.0,0.0,54
TXX5Q,B,2015-01-12,0.0,0.0,25
TXQ0T,B,2015-01-12,0.0,0.0,22
TXX5Q,A,2015-01-12,0.0,0.0,43
TXQ0T,A,2015-01-12,0.0,0.0,52
TXX5Q,C,2015-01-12,0.0,0.0,94
TXQ0T,C,2015-01-12,0.0,0.0,93
TXX00,E,2015-01-12,0.0,0.0,60
TXX06,E,2015-01-12,0.0,0.0,55
TXXX0,E,2015-01-12,0.0,0.0,58
TXZ06,E,2015-01-12,0.0,0.0,30
TXX00,B,2015-01-12,0.0,0.0,35
TXX06,B,2015-01-12,0.0,0.0,40
TXXX0,B,2015-01-12,0.0,0.0,48
TXZ06,B,2015-01-12,0.0,0.0,50
TXX00,A,2015-01-12,0.0,0.0,3
TXX06,A,2015-01-12,0.0,0.0,3
TXX00,C,2015-01-12,0.0,0.0,90
TXX06,C,2015-01-12,0.0,0.0,89
TXXX0,C,2015-01-12,0.0,0.0,88
TXZ06,C,2015-01-12,0.0,0.0,91
TXX00,D,2015-01-12,0.0,0.0,1
TXX06,D,2015-01-12,0.0,0.0,1
TXZ06,D,2015-01-12,0.0,0.0,1
TXX00,F,2015-01-12,0.0,0.0,1
TXQT7,E,2015-01-12,0.0,0.0,18
TXQTZ,E,2015-01-12,0.0,0.0,29
TXQT7,B,2015-01-12,0.0,0.0,65
TXQTZ,B,2015-01-12,0.0,0.0,61
TXQT7,A,2015-01-12,0.0,0.0,6
TXQQX,C,2015-01-12,0.0,0.0,6
TXQT7,C,2015-01-12,0.0,0.0,88
TXQTZ,C,2015-01-12,0.0,0.0,88
TXX5Q,E,2015-01-19,0.0,0.0,54
TXQ0T,E,2015-01-19,0.0,0.0,51
TXX5Q,B,2015-01-19,0.0,0.0,27
TXQ0T,B,2015-01-19,0.0,0.0,33
TXX5Q,A,2015-01-19,0.0,0.0,29
TXQ0T,A,2015-01-19,0.0,0.0,44
TXX5Q,C,2015-01-19,0.0,0.0,92
TXQ0T,C,2015-01-19,0.0,0.0,92
TXX00,E,2015-01-19,0.0,0.0,52
TXX06,E,2015-01-19,0.0,0.0,54
TXXX0,E,2015-01-19,0.0,0.0,56
TXZ06,E,2015-01-19,0.0,0.0,63
TXX00,B,2015-01-19,0.0,0.0,22
TXX06,B,2015-01-19,0.0,0.0,44
TXXX0,B,2015-01-19,0.0,0.0,51
TXZ06,B,2015-01-19,0.0,0.0,50
TXX00,A,2015-01-19,0.0,0.0,3
TXX06,A,2015-01-19,0.0,0.0,3
TXX00,C,2015-01-19,0.0,0.0,90
TXX06,C,2015-01-19,0.0,0.0,89
TXXX0,C,2015-01-19,0.0,0.0,89
TXZ06,C,2015-01-19,0.0,0.0,91
TXX00,D,2015-01-19,0.0,0.0,1
TXX06,D,2015-01-19,0.0,0.0,1
TXZ06,D,2015-01-19,0.0,0.0,1
TXQT7,E,2015-01-19,93020.06,0.0,63
TXQTZ,E,2015-01-19,93020.06,0.0,60
TXQT7,B,2015-01-19,93020.06,0.0,61
TXQTZ,B,2015-01-19,93020.06,0.0,64
TXQT7,A,2015-01-19,93020.06,0.0,10
TXQQX,C,2015-01-19,93020.06,0.0,9
TXQT7,C,2015-01-19,93020.06,0.0,89
TXQTZ,C,2015-01-19,93020.06,0.0,85
TXX5Q,E,2015-01-26,0.0,0.0,51
TXQ0T,E,2015-01-26,0.0,0.0,45
TXX5Q,B,2015-01-26,0.0,0.0,25
TXQ0T,B,2015-01-26,0.0,0.0,25
TXX5Q,A,2015-01-26,0.0,0.0,63
TXQ0T,A,2015-01-26,0.0,0.0,81
TXX5Q,C,2015-01-26,0.0,0.0,93
TXQ0T,C,2015-01-26,0.0,0.0,94
TXX00,E,2015-01-26,0.0,0.0,51
TXX06,E,2015-01-26,0.0,0.0,46
TXXX0,E,2015-01-26,0.0,0.0,54
TXZ06,E,2015-01-26,0.0,0.0,66
TXX00,B,2015-01-26,0.0,0.0,31
TXX06,B,2015-01-26,0.0,0.0,43
TXXX0,B,2015-01-26,0.0,0.0,50
TXZ06,B,2015-01-26,0.0,0.0,46
TXX06,A,2015-01-26,0.0,0.0,2
TXX00,C,2015-01-26,0.0,0.0,92
TXX06,C,2015-01-26,0.0,0.0,93
TXXX0,C,2015-01-26,0.0,0.0,91
TXZ06,C,2015-01-26,0.0,0.0,92
TXX00,D,2015-01-26,0.0,0.0,1
TXX06,D,2015-01-26,0.0,0.0,2
TXZ06,D,2015-01-26,0.0,0.0,1
TXQT7,E,2015-01-26,0.0,0.0,58
TXQTZ,E,2015-01-26,0.0,0.0,57
TXQT7,B,2015-01-26,0.0,0.0,60
TXQTZ,B,2015-01-26,0.0,0.0,59
TXQT7,A,2015-01-26,0.0,0.0,3
TXQTZ,A,2015-01-26,0.0,0.0,3
TXQQX,C,2015-01-26,0.0,0.0,8
TXQT7,C,2015-01-26,0.0,0.0,94
TXQTZ,C,2015-01-26,0.0,0.0,93
TXX5Q,E,2015-02-02,0.0,1714.02,47
TXQ0T,E,2015-02-02,0.0,1714.02,47
TXX5Q,B,2015-02-02,0.0,1714.02,45
TXQ0T,B,2015-02-02,0.0,1714.02,26
TXX5Q,A,2015-02-02,0.0,1714.02,50
TXQ0T,A,2015-02-02,0.0,1714.02,58
TXX5Q,C,2015-02-02,0.0,1714.02,96
TXQ0T,C,2015-02-02,0.0,1714.02,93
TXX00,E,2015-02-02,0.0,0.0,45
TXX06,E,2015-02-02,0.0,0.0,49
TXXX0,E,2015-02-02,0.0,0.0,51
TXZ06,E,2015-02-02,0.0,0.0,65
TXX00,B,2015-02-02,0.0,0.0,35
TXX06,B,2015-02-02,0.0,0.0,49
TXXX0,B,2015-02-02,0.0,0.0,45
TXZ06,B,2015-02-02,0.0,0.0,52
TXX00,A,2015-02-02,0.0,0.0,2
TXX06,A,2015-02-02,0.0,0.0,2
TXX00,C,2015-02-02,0.0,0.0,96
TXX06,C,2015-02-02,0.0,0.0,96
TXXX0,C,2015-02-02,0.0,0.0,89
TXZ06,C,2015-02-02,0.0,0.0,92
TXX00,D,2015-02-02,0.0,0.0,1
TXX06,D,2015-02-02,0.0,0.0,1
TXZ06,D,2015-02-02,0.0,0.0,1
TXQT7,E,2015-02-02,140955.17,0.0,58
TXQTZ,E,2015-02-02,140955.17,0.0,54
TXQT7,B,2015-02-02,140955.17,0.0,52
TXQTZ,B,2015-02-02,140955.17,0.0,62
TXQT7,A,2015-02-02,140955.17,0.0,6
TXQTZ,A,2015-02-02,140955.17,0.0,4
TXQQX,C,2015-02-02,140955.17,0.0,8
TXQT7,C,2015-02-02,140955.17,0.0,94
TXQTZ,C,2015-02-02,140955.17,0.0,89
TXQQX,D,2015-02-02,140955.17,0.0,1
TXQQX,F,2015-02-02,140955.17,0.0,1
TXX5Q,E,2015-02-09,0.0,285.67,56
TXQ0T,E,2015-02-09,0.0,285.67,51
TXX5Q,B,2015-02-09,0.0,285.67,31
TXQ0T,B,2015-02-09,0.0,285.67,30
TXX5Q,A,2015-02-09,0.0,285.67,48
TXQ0T,A,2015-02-09,0.0,285.67,61
TXX5Q,C,2015-02-09,0.0,285.67,96
TXQ0T,C,2015-02-09,0.0,285.67,93
